City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,San Rafael,AR,2021-09-19 03:00:51,-34.6177,-68.3301,61.47,36,0,8.05
125,Tabou,CI,2021-09-19 03:05:42,4.423,-7.3528,76.71,87,73,6.89
126,Vestmanna,FO,2021-09-19 03:05:42,62.1564,-7.1664,52.72,94,90,17.27
127,Pitrufquen,CL,2021-09-19 03:05:43,-38.9833,-72.65,46.42,93,0,5.75
128,Sturgis,US,2021-09-19 03:03:09,41.7992,-85.4192,69.96,50,1,6.91
129,Darlowo,PL,2021-09-19 03:05:43,54.421,16.4107,55.31,64,96,13.87
130,Chapais,CA,2021-09-19 03:05:43,49.7834,-74.8492,47.41,66,100,2.55
131,Kutum,SD,2021-09-19 03:05:44,14.2,24.6667,75.11,56,84,1.97
132,Kibuye,RW,2021-09-19 03:05:44,-2.0597,29.3482,62.87,84,99,2.24
133,Yeppoon,AU,2021-09-19 03:05:44,-23.1333,150.7333,82.18,54,2,9.37
134,Palmas,BR,2021-09-19 03:04:49,-10.2128,-48.3603,80.47,47,0,4.61
135,Butaritari,KI,2021-09-19 03:05:44,3.0707,172.7902,82.92,69,40,16.24
136,Nikolskoye,RU,2021-09-19 03:05:45,59.7035,30.7861,37.29,85,100,6.73
137,Luderitz,NA,2021-09-19 03:05:45,-26.6481,15.1594,52.39,88,34,4.83
138,Clonakilty,IE,2021-09-19 03:05:45,51.6231,-8.8706,52.81,87,0,11.27
139,Atuona,PF,2021-09-19 03:05:45,-9.8,-139.0333,77.92,74,14,17.67
140,Chifeng,CN,2021-09-19 03:05:46,42.2683,118.9636,65.26,44,100,1.23
141,Faanui,PF,2021-09-19 03:05:46,-16.4833,-151.75,78.04,75,45,18.05
142,Hainichen,DE,2021-09-19 03:05:46,50.9667,13.1167,51.93,94,99,4.21
143,Narsaq,GL,2021-09-19 03:05:46,60.9167,-46.05,39.42,98,100,3.36
144,Caravelas,BR,2021-09-19 03:05:47,-17.7125,-39.2481,69.96,87,6,5.84
145,Pandhana,IN,2021-09-19 03:05:47,21.7,76.2167,77.67,79,98,3.36
146,Asau,RO,2021-09-19 03:05:47,46.4333,26.4,53.96,84,19,6.08
147,Kaitangata,NZ,2021-09-19 03:02:55,-46.2817,169.8464,55.53,60,100,7.36
148,Yellowknife,CA,2021-09-19 03:01:14,62.456,-114.3525,41.95,79,100,15.9
149,Klaksvik,FO,2021-09-19 03:05:48,62.2266,-6.589,54.52,88,100,22.28
150,Lavrentiya,RU,2021-09-19 03:05:48,65.5833,-171.0,37.0,98,100,11.3
151,Grindavik,IS,2021-09-19 03:05:48,63.8424,-22.4338,46.87,87,75,12.66
